type,type
Venture - Series Unknown,1
Angel,7
Angel Round,1
Bridge Funding,1
Bridge Round,1
Corporate Round,2
Debt,1
Debt ,1
Debt Financing,6
Debt Funding,13
Debt and Preference capital,1
Debt-Funding,1
Equity,1
Equity ,1
Equity Based Funding,1
Equity and Debt ,1
Follow-On,1
Funding,1
Funding Round ,1
In Progress,3
Inhouse Funding,1
M&A,1
Maiden Round,1
Mezzanine,1
Personal Investment,1
Pre Seed,1
Pre Series A,2
Pre-Series A,9
Pre-Series A ,2
Pre-series A,1
Pre-series E,1
Private Equity,181
Private Equity Round,4
Private Funding,4
Secondary Market,2
Seed,25
Seed / Angel Funding,8
Seed Funding,11
Seed Funding Round,1
Seed Round,7
Seed/ Angel Funding,119
Series,1
Series 1,1
Series A,45
Series B,31
Series B (Extension),1
Series C,28
Series C1,1
Series D,18
Series D1,1
Series E,8
Series F,8
Series G,1
Series H,1
Series J,2
Single Venture,1
Unspecified,1
Venture,5
Venture ,2
Venture - Series Unknown,2
Venture Round,3
Venture Series,3
Venture Series ,1
Venture-Series Unknown,2
pre-Seed,1
pre-Series A,5
pre-Series B,1
pre-series A,1
